ticker,close_time,checkpoint,label,target,btc,distance,distance_atr,distance_pct,sqrt_time,ret1,ret3,ret5,ret10,ema_gap,rsi14,rv5,rv15,range5,range15,hh1,ll1,body,wick_up,wick_dn,f5ret,f5gap,f5hh,f5ll
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,10,0,63083.73,63101.0,17.2699999999968,0.6624109588785793,0.00027376313987769585,3.1622776601683795,0.00020606137458778484,0.0001426488302795903,0.00017435409732136087,-0.0008075753737015745,-0.0004092011072535248,41.46341463131469,0.0003639979534230458,0.000349685726088806,0.0009508565632874281,0.002218665314337332,1.0,0.0,0.3835616438356164,0.2684931506849315,0.11506849315068493,0.00017435409732136087,-0.0002915021424182141,0.0,1.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,8,0,63083.73,63098.0,14.269999999996799,0.6053939393681201,0.0002262072962394075,2.8284271247461903,-9.508113590261935e-05,0.0001585087496829285,9.509922018646755e-05,-0.00012677083003198586,-0.0003307244267356917,34.85714285435428,0.0003664068193757448,0.00025291605313365015,0.0011252337633522458,0.0019493486322862848,0.0,0.0,-0.2545454545454545,0.2121212121212121,0.04242424242424242,9.508565632865285e-05,-0.00033860961525274586,1.0,0.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,6,0,63083.73,63097.0,13.269999999996799,0.5545671641557948,0.00021035534835997806,2.449489742783178,-0.00038022211308441634,-0.00011092799188638924,0.00014265787471479108,0.0002536421426420077,-0.00024962259079490704,37.4429223720356,0.0002859724684624473,0.0002871142717268653,0.000554701491354581,0.001806742000412064,1.0,1.0,-1.0865671641791046,0.0,0.16716417910447762,9.508565632865285e-05,-0.00033860961525274586,1.0,0.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,4,0,63083.73,63068.0,-15.730000000003201,-0.655416666639491,-0.000249351140143476,2.0,-0.0006179980033910182,-0.0008396571663946695,-0.0005704868154158271,-0.0004279261431174852,-0.000259303257630575,41.441441438828015,0.0003963801419912336,0.0003160421001237908,0.0009037863892940953,0.0013160398300247351,0.0,1.0,-1.625,0.041666666666666664,0.08333333333333333,-0.0017589173942669234,-0.0005595994001027215,0.0,1.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,3,0,63083.73,63034.0,-49.7300000000032,-1.9667231637641547,-0.0007883173680440773,1.7320508075688772,-0.0005391006532631248,-0.0009984626844382616,-0.0010142952233034297,-0.0009192924618017795,-0.00034324512658783857,36.94779116258125,0.00043855930894822756,0.0003327121114986919,0.0014119364152679506,0.0014119364152679506,0.0,1.0,-1.463276836158192,0.0,0.0,-0.0017589173942669234,-0.0005595994001027215,0.0,1.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,2,0,63083.73,63007.0,-76.7300000000032,-2.935027322292225,-0.0012163199607886724,1.4142135623730951,-0.0004283402608116216,-0.0015846102651052574,-0.001806055037150922,-0.0008246245579536238,-0.00044486980147593453,35.658914726747184,0.00030517901337657604,0.000344957282067569,0.0018728077832621771,0.0018728077832621771,0.0,1.0,-1.0327868852459017,0.3825136612021858,0.07650273224043716,-0.0017589173942669234,-0.0005595994001027215,0.0,1.0
KXBTC15M-26JUL311430-30,2026-07-31 18:30:00+00:00,1,0,63083.73,63018.0,-65.7300000000032,-2.4539199999085066,-0.0010419485341149485,1.0,0.00017458377640577893,-0.0007927950783281901,-0.0012520405090574727,-0.0011095612477808325,-0.0004914518380885769,36.1538461518994,0.0003866323041617417,0.00034747548002171154,0.0017931384683741154,0.0018724808784791648,0.0,0.0,0.26133333333333336,0.2986666666666667,0.224,-0.0017589173942669234,-0.0005595994001027215,0.0,1.0
KXBTC15M-26JUL311445-45,2026-07-31 18:45:00+00:00,14,0,63002.82,63033.0,30.18000000000029,1.0406896551365379,0.0004790261769235138,3.7416573867739413,0.0005873388786590272,0.00041265256241374004,-0.000554956554829733,-0.0011251267748478844,-0.0005261550518709181,40.5144694515524,0.0004769447085858766,0.00039030277149592853,0.001221582345755398,0.0020465470467850174,1.0,0.0,1.1724137931034482,0.034482758620689655,0.0,6.34960949901231e-05,-0.0007027393242260876,0.0,1.0
KXBTC15M-26JUL311445-45,2026-07-31 18:45:00+00:00,12,0,63002.82,63010.0,7.180000000000291,0.25774358973434786,0.00011396315276046836,3.4641016151377544,-0.00017454499293889647,0.00022223633246554186,4.761375720163663e-05,-0.0017585272730152868,-0.0005198493941258901,35.66176470404683,0.0003753572468393542,0.0003729888130799172,0.0006983018568481194,0.0020472940803047137,0.0,1.0,-0.358974358974359,0.2512820512820513,0.28717948717948716,6.34960949901231e-05,-0.0007027393242260876,0.0,1.0
KXBTC15M-26JUL311445-45,2026-07-31 18:45:00+00:00,10,0,63002.82,63000.0,-2.819999999999709,-0.09422434367225964,-4.475990122346442e-05,3.1622776601683795,-0.000412528162980319,-0.0003332222592469236,6.34960949901231e-05,-0.001695532983662651,-0.000495532576578308,32.550335568940596,0.00040172144392504084,0.0003583407142140211,0.000746031746031746,0.0020952380952380953,1.0,0.0,-0.9021479713603819,0.20047732696897375,0.03341288782816229,6.34960949901231e-05,-0.0007027393242260876,0.0,1.0
KXBTC15M-26JUL311445-45,2026-07-31 18:45:00+00:00,8,0,63002.82,63005.0,2.180000000000291,0.0672246696014602,3.460162576850197e-05,2.8284271247461903,-0.00041249543875232497,-0.0003331958239456423,-0.00025388362609291004,-0.00046006916901986106,-0.000437653113417861,32.20858895567203,0.0004075976984414956,0.00039863566310365667,0.000745972541861757,0.0020950718196968495,1.0,1.0,-0.9251101321585903,0.09251101321585903,0.18502202643171806,-0.0013015873015872481,-0.0009373011699822725,0.0,1.0
