confirmation_seconds,direction_changes_surviving,raw_direction_changes,estimated_churn_reduction_pct
1,94,117,19.658119658119656
2,82,117,29.91452991452992
3,75,117,35.89743589743589
5,66,117,43.58974358974359
8,61,117,47.86324786324786
10,56,117,52.13675213675213
