ticker,seconds_remaining_at_arm,distance_at_arm,crossed_through
KXBTC15M-26SEP112115-15,895.615,9.589999999996508,1
KXBTC15M-26SEP112130-30,888.437,5.519999999989523,1
KXBTC15M-26SEP112145-45,876.116,2.5899999999965075,1
KXBTC15M-26SEP112200-00,883.022,8.65999999998894,1
KXBTC15M-26SEP112215-15,896.624,6.9100000000034925,1
KXBTC15M-26SEP112230-30,894.99,9.130000000004657,1
KXBTC15M-26SEP112245-45,885.534,8.679999999993015,1
KXBTC15M-26SEP112300-00,883.925,2.0500000000029104,1
