checkpoint,selected_model,family,validation_accuracy,validation_brier,test_accuracy,test_brier,n_test
14,extra,distance_time,0.6326530612244898,0.24776075383653032,0.5,0.2626376129035758,50
12,rf,distance_time,0.6530612244897959,0.23482332924512855,0.56,0.2580999600024584,50
10,logistic,momentum,0.673469387755102,0.26959233225994383,0.7,0.21639269898020771,50
8,logistic,momentum,0.7755102040816326,0.21810891178576328,0.74,0.19113465326395818,50
6,logistic,distance_time,0.6938775510204082,0.23664573936382818,0.76,0.1579796766878384,50
4,logistic,structure,0.7551020408163265,0.16009929647077095,0.92,0.06785722483679021,50
3,extra,structure,0.8163265306122449,0.1620060962223383,0.88,0.08964518467769768,50
2,logistic,structure,0.8367346938775511,0.13075603634702318,0.88,0.061660085176194535,50
1,logistic,structure,0.8571428571428571,0.13236109747783797,0.92,0.06960233848999182,50
